iter	RMSE
499	2.150676331
500	2.150379138
501	2.14986187
502	2.148475565
503	2.147203342
504	2.146220066
505	2.144924128
506	2.143807848
507	2.143293425
508	2.143168999
509	2.142662261
510	2.142185625
511	2.141408552
512	2.140714073
513	2.139922723
514	2.138905048
515	2.138549303
516	2.137579629
517	2.136667864
518	2.135211394
519	2.134591375
520	2.134148445
521	2.133404353
522	2.132484223
523	2.131843172
524	2.130906637
525	2.129440999
526	2.128261558
527	2.126835633
528	2.126140305
529	2.125373544
530	2.124146629
531	2.123207951
532	2.122344552
533	2.121882119
534	2.121409534
535	2.121151836
536	2.120727999
537	2.12066964
538	2.119884853
539	2.118843923
540	2.117945199
541	2.116768475
542	2.116675287
543	2.115907073
544	2.114720163
545	2.114353064
546	2.114052609
547	2.112883564
548	2.112312529
549	2.112049136
550	2.111604661
551	2.11061459
552	2.109745822
553	2.109136952
554	2.108269781
555	2.107335409
556	2.107103909
557	2.105941453
558	2.104510442
559	2.103273253
560	2.10238354
561	2.10217734
562	2.101549684
563	2.101059563
564	2.100096052
565	2.098639434
566	2.098243948
567	2.097952676
568	2.097406054
569	2.096690007
570	2.095690703
571	2.095106768
572	2.094535211
573	2.093385914
574	2.092937235
575	2.0915782
576	2.091562212
577	2.090638395
578	2.089895302
579	2.088809601
580	2.087469932
581	2.086977842
582	2.086338172
583	2.086071473
584	2.085465104
585	2.085257456
586	2.084871394
587	2.084310507
588	2.083287506
589	2.083174743
590	2.083150184
591	2.082657296
592	2.0814512
593	2.081289066
594	2.080526197
595	2.080147994
596	2.079673981
597	2.079108859
598	2.078814863
599	2.078214689
600	2.077202695
601	2.076187905
602	2.075774106
603	2.075337567
604	2.074692258
605	2.074215602
606	2.074103309
607	2.073135044
608	2.072468799
609	2.072351509
610	2.070894716
611	2.070075093
612	2.069519179
613	2.069135246
614	2.067847307
615	2.067410964
616	2.066664751
617	2.065853411
618	2.06536857
619	2.063890438
620	2.063763938
621	2.063094843
622	2.062021507
623	2.061791695
624	2.060716624
625	2.059938287
626	2.059133217
627	2.057558772
628	2.056998542
629	2.05616886
630	2.055467621
631	2.054598439
632	2.054187546
633	2.053724585
634	2.053462566
635	2.052232683
636	2.05096915
637	2.050478107
638	2.049436113
639	2.049026042
640	2.048115966
641	2.047419739
642	2.04671366
643	2.046021897
644	2.045278675
645	2.044420299
646	2.044043837
647	2.043383451
648	2.04217244
649	2.041824839
650	2.041727528
651	2.041459295
652	2.040755287
653	2.039489553
654	2.038995263
655	2.038844338
656	2.038415089
657	2.037659012
658	2.037350255
659	2.03672405
660	2.036213223
661	2.036187151
662	2.035121347
663	2.033585143
664	2.033012223
665	2.032259679
666	2.031682212
667	2.031068561
668	2.03105796
669	2.030172973
670	2.029907341
671	2.029192251
672	2.028592858
673	2.027523229
674	2.026878828
675	2.025807899
676	2.024812511
677	2.023759307
678	2.023283494
679	2.022815528
680	2.021617176
681	2.02114376
682	2.021042282
683	2.020851424
684	2.020350319
685	2.01916055
686	2.018481257
687	2.017975212
688	2.017452271
689	2.016653861
690	2.015816905
691	2.01515761
692	2.014066555
693	2.013497825
694	2.012105421
695	2.011535487
696	2.010822965
697	2.00957156
698	2.009226653
699	2.00780501
700	2.007120557
701	2.006417073
702	2.005873049
703	2.004748504
704	2.004122713
705	2.0037755
706	2.003302726
707	2.002933524
708	2.002055013
709	2.001381385
710	2.000880643
711	2.000533263
712	1.999696188
713	1.999357105
714	1.998529276
715	1.998091909
716	1.997971666
717	1.997596688
718	1.996510531
719	1.996261059
720	1.995715167
721	1.995209317
722	1.995033019
723	1.994967964
724	1.994297716
725	1.993248819
726	1.992070361
727	1.992056497
728	1.991915746
729	1.991728876
730	1.991197245
731	1.990038356
732	1.989982914
733	1.989839682
734	1.989243873
735	1.988984546
736	1.98896921
737	1.988940725
738	1.988094574
739	1.987472717
740	1.987454174
741	1.986832354
742	1.985966209
743	1.985155495
744	1.985132006
745	1.984059357
746	1.983215016
747	1.982895011
748	1.982609642
749	1.981711167
750	1.980890802
751	1.979794283
752	1.979179138
753	1.978662102
754	1.978652795
755	1.978434694
756	1.978422474
757	1.977642174
758	1.976520162
759	1.975407647
760	1.974814948
761	1.974776005
762	1.974171141
763	1.973794276
764	1.972506624
765	1.9712952
766	1.970796747
767	1.970258589
768	1.968841455
769	1.968604735
770	1.968256562
771	1.967651886
772	1.967331264
773	1.966645539
774	1.966585113
775	1.965574914
776	1.965214708
777	1.964126374
778	1.963695952
779	1.963116269
780	1.961983618
781	1.9611325
782	1.960699244
783	1.960053643
784	1.959062369
785	1.958610979
786	1.957810288
787	1.957621511
788	1.956786483
789	1.955790078
790	1.955171771
791	1.954693566
792	1.953680387
793	1.953612357
794	1.952900107
795	1.952035833
796	1.95122575
797	1.950275542
798	1.949067555
799	1.948268962
800	1.947462724
801	1.946162487
802	1.945545104
803	1.944763775
804	1.944033748
805	1.943825569
806	1.943672456
807	1.943473555
808	1.943218688
809	1.942821054
810	1.941770186
811	1.940742292
812	1.940315762
813	1.939623961
814	1.938667808
815	1.938434316
816	1.937574248
817	1.937009869
818	1.936533352
819	1.935709686
820	1.935035619
821	1.933954876
822	1.932668675
823	1.932053271
824	1.931321319
825	1.930301369
826	1.930104289
827	1.929932259
828	1.929364045
829	1.927914802
830	1.926963757
831	1.925913397
832	1.925549557
833	1.925058606
834	1.924641948
835	1.923742423
836	1.923062141
837	1.922188764
838	1.921893568
839	1.921073391
840	1.920480086
841	1.92009784
842	1.919604256
843	1.918784387
844	1.917807668
845	1.916895389
846	1.916311404
847	1.916139629
848	1.915623545
849	1.914634577
850	1.914293084
851	1.9138377
852	1.912794242
853	1.912045643
854	1.911724761
855	1.91107757
856	1.910573624
857	1.910262888
858	1.910132983
859	1.909938337
860	1.909639825
861	1.908515379
862	1.90812292
863	1.907565821
864	1.907353422
865	1.906462156
866	1.906304354
867	1.906049605
868	1.905496517
869	1.905335497
870	1.904507518
871	1.904305723
872	1.903569263
873	1.902465405
874	1.902399333
875	1.902258995
876	1.901603451
877	1.900429801
878	1.89996856
879	1.89905413
880	1.899045987
881	1.898960656
882	1.898464605
883	1.897691453
884	1.897019963
885	1.896102259
886	1.895855521
887	1.895330587
888	1.894883241
889	1.894014378
890	1.893618169
891	1.893195069
892	1.892495835
893	1.891732525
894	1.891215228
895	1.890681807
896	1.89025564
897	1.889486307
898	1.889055576
899	1.888595544
900	1.888501072
901	1.887434063
902	1.886720772
903	1.886571744
904	1.885876017
905	1.885435071
906	1.884457359
907	1.883168772
908	1.882592213
909	1.882283589
910	1.881947849
911	1.881177891
912	1.880382618
913	1.880248812
914	1.879953365
915	1.879452203
916	1.878754784
917	1.878245088
918	1.877912732
919	1.877702586
920	1.877562558
921	1.876087787
922	1.875029066
923	1.874728105
924	1.874129158
925	1.873586458
926	1.87290306
927	1.872887881
928	1.872442991
929	1.872124874
930	1.871886601
931	1.871481035
932	1.871142027
933	1.870977659
934	1.870180593
935	1.86935923
936	1.868499569
937	1.867747609
938	1.867312227
939	1.866570413
940	1.866076619
941	1.865516063
942	1.864695059
943	1.86451535
944	1.8634191
945	1.862391324
946	1.861803348
947	1.861236401
948	1.860408158
949	1.859955097
950	1.859728004
951	1.859016693
952	1.85857567
953	1.858109709
954	1.857988923
955	1.857835046
956	1.85724604
957	1.857066169
958	1.856294225
959	1.85570162
960	1.854899204
961	1.854570614
962	1.85395803
963	1.853619926
964	1.853164958
965	1.852188239
966	1.851712043
967	1.85135736
968	1.85038351
969	1.850308457
970	1.850129275
971	1.849480385
972	1.848502114
973	1.848423618
974	1.848040046
975	1.847962975
976	1.847940631
977	1.847109352
978	1.846256484
979	1.845865143
980	1.845551073
981	1.845332086
982	1.844550209
983	1.843839351
984	1.843565289
985	1.843217944
986	1.842339893
987	1.841109794
988	1.840742724
989	1.84072185
990	1.840631434
991	1.84044062
992	1.840099008
993	1.839861881
994	1.838881515
995	1.838719674
996	1.83808089
997	1.837565221
998	1.837468905
999	1.836822038
